DL_NO,FULL_NAME,DATE_OF_BIRTH,GENDER,ISSUE_DATE,VALIDITY_DATE,BLOOD_GROUP,ORGAN_DONOR,GUARDIAN_NAME,ADDRESS,MCWG,LMV,HMV,EMERGENCY CONTACT,IMAGE URL
KL05 20230004660,Jessica Thomas,7/3/2004,F,24/05/2023,23/05/2045,AB+,No,Thomas Eldhose,"flat no 12B, Skyline, Mavelipuram Colony, MG road,Ernakulam",Yes,Yes,No,7584360214,C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL05 20230004660.jpeg
KL07 19860010374,Christopher,27/04/1968,M,16/09/1986,17/03/2008,A-,No,Kavi Alex,"Marymatha House, Piravom Road, Kochi, AzhikkalPO, Ernakulam, 682508",Yes,Yes,No,8546964620,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 19860010374.jpeg"""
KL07 19920032301,Reena T,22/08/1963,F,19/09/1992,19/08/2014,A+,No,Thankappan k,"Srovrarm , M B House, Kothamngalam , Bhoothathankettu PO, Ernakulam, 686681",Yes,Yes,No,7584691236,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 19920032301.jpeg"""
KL07 19950000735,Shoji CS,10/2/1995,M,2/2/1995,9/2/2031,A+,No,Sukumaran C M,"Chullipparambil House, Shokula Moolepadam Road, Kalamassery Ernakulam, 683104",Yes,Yes,No,9207913200,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 19950000735.jpg"""
KL07 19998542100,Padma Anil,16/11/1981,F,14/09/1999,13/09/2021,O-,No,Anil M,"Prathiksha , GODson ROad, Muvattupuzha, Avoly PO, Ernakulam, 686670",Yes,Yes,No,8856231204,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 19998542100.jpeg"""
KL07 19998546302,Keshav B,10/10/1975,M,13/07/1999,12/7/2021,B+,Yes,Bagvan BM,"Sindhooram House, Kanayannur, AIMS PO, Ernakulam, 682041",Yes,Yes,Yes,9961245450,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 19998546302.jpeg"""
KL07 20020010535,Anamika Rajesh,23/12/1984,F,12/11/2002,12/11/2024,B-,No,Rajesh S R,"Akshayam House, D I Road, Muvattupuzha , AvolyPO, Ernakulam, 686670",Yes,No,No,9564128585,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20020010535.jpeg"""
KL07 20036536325,Priyanka Sujith,17/09/1985,F,30/12/2003,30/12/2025,B-,No,Sujith Sudhakar,"Shanthikaram, FR ROad, Kunnathunadu, Alutthichura PO, Ernakulam, 683544",Yes,No,No,8854125462,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20036536325.jpeg"""
KL07 20040010645,Anurag B,14/09/1984,M,16/04/2004,15/04/2026,B+,Yes,Bharath Prasad,"Kunnathu veedu, pv Road, Kakkanad PO, Ernakulam,632478",Yes,Yes,No,9048736550,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20040010645.jpeg"""
KL07 20050021301,Najmal Rahi,13/12/1984,M,26/05/2005,26/05/2027,A+,No,Najeeb V,"Ashwinam, Porch Road , paravur , cherai PO, Ernakulam, , 683514",Yes,Yes,No,8547474121,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20050021301.jpeg"""
